id,Cod IBGE,UF,Município,População Estimada - 2017
634,2504306,PB,CATOLÉ DO ROCHA,30534
635,2504355,PB,CATURITÉ,4839
636,2504405,PB,CONCEIÇÃO,18944
637,2504504,PB,CONDADO,6753
638,2504702,PB,CONGO,4789
639,2504801,PB,COREMAS,15426
640,2504850,PB,COXIXOLA,1925
641,2505006,PB,CUBATI,7274
642,2505105,PB,CUITÉ,20348
643,2505204,PB,CUITEGI,6790
644,2505303,PB,CURRAL VELHO,2517
645,2505352,PB,DAMIÃO,5343
646,2505402,PB,DESTERRO,8306
647,2505600,PB,DIAMANTE,6550
648,2505709,PB,DONA INÊS,10383
649,2505808,PB,DUAS ESTRADAS,3594
650,2505907,PB,EMAS,3528
651,2506004,PB,ESPERANÇA,33266
652,2506103,PB,FAGUNDES,11313
653,2506202,PB,FREI MARTINHO,2990
654,2506251,PB,GADO BRAVO,8435
655,2506301,PB,GUARABIRA,58881
656,2506400,PB,GURINHÉM,14134
657,2506509,PB,GURJÃO,3436
658,2506608,PB,IBIARA,5925
659,2502607,PB,IGARACY,6173
660,2506707,PB,IMACULADA,11833
661,2506806,PB,INGÁ,18163
662,2506905,PB,ITABAIANA,24475
663,2507002,PB,ITAPORANGA,24842
664,2507200,PB,ITATUBA,10876
665,2507408,PB,JERICÓ,7742
666,2513653,PB,JOCA CLAUDINO,2690
667,2507606,PB,JUAREZ TÁVORA,7950
668,2507705,PB,JUAZEIRINHO,18213
669,2507804,PB,JUNCO DO SERIDÓ,7165
670,2508000,PB,JURU,9868
671,2508109,PB,LAGOA,4666
672,2508208,PB,LAGOA DE DENTRO,7670
673,2508307,PB,LAGOA SECA,27543
674,2508406,PB,LASTRO,2725
675,2508505,PB,LIVRAMENTO,7386(4)
676,2508554,PB,LOGRADOURO,4343
677,2508703,PB,MÃE D'ÁGUA,4009
678,2508802,PB,MALTA,5665
679,2509008,PB,MANAÍRA,11120
680,2509156,PB,MARIZÓPOLIS,6614
681,2509206,PB,MASSARANDUBA,13853
682,2509339,PB,MATINHAS,4537
683,2509370,PB,MATO GROSSO,2915
684,2509396,PB,MATURÉIA,6587
685,2509404,PB,MOGEIRO,13286
686,2509503,PB,MONTADAS,5691
687,2509602,PB,MONTE HOREBE,4825
688,2509701,PB,MONTEIRO,33294
689,2509800,PB,MULUNGU,9922
690,2509909,PB,NATUBA,10460
691,2510006,PB,NAZAREZINHO,7296
692,2510105,PB,NOVA FLORESTA,10639
693,2510204,PB,NOVA OLINDA,5944
694,2510303,PB,NOVA PALMEIRA,4910
695,2510402,PB,OLHO D'ÁGUA,6512
696,2510501,PB,OLIVEDOS,3951
697,2510600,PB,OURO VELHO,3042
698,2510659,PB,PARARI,1769
699,2510709,PB,PASSAGEM,2424
700,2510808,PB,PATOS,107790
701,2510907,PB,PAULISTA,12308
702,2511004,PB,PEDRA BRANCA,3803
703,2511103,PB,PEDRA LAVRADA,8122
704,2511301,PB,PIANCÓ,16091
705,2511400,PB,PICUÍ,18737
706,2511608,PB,PILÕES,6607
707,2511707,PB,PILÕEZINHOS,5080
708,2511806,PB,PIRPIRITUBA,10585
709,2512002,PB,POCINHOS,18622
710,2512036,PB,POÇO DANTAS,3770
711,2512077,PB,POÇO DE JOSÉ DE MOURA,4318
712,2512101,PB,POMBAL,32766
713,2512200,PB,PRATA,4179
714,2512309,PB,PRINCESA ISABEL,23489
715,2512408,PB,PUXINANÃ,13715
716,2512507,PB,QUEIMADAS,44214
717,2512606,PB,QUIXABA,1964
718,2512705,PB,REMÍGIO,19579
719,2512747,PB,RIACHÃO,3607
720,2512754,PB,RIACHÃO DO BACAMARTE,4529
721,2512788,PB,RIACHO DE SANTO ANTÔNIO,1985
722,2512804,PB,RIACHO DOS CAVALOS,8609
723,2513000,PB,SALGADINHO,3980
724,2513109,PB,SALGADO DE SÃO FÉLIX,12145
725,2513158,PB,SANTA CECÍLIA,6557
726,2513208,PB,SANTA CRUZ,6585
727,2513307,PB,SANTA HELENA,5887
728,2513356,PB,SANTA INÊS,3596
729,2513406,PB,SANTA LUZIA,15401
730,2513802,PB,SANTA TERESINHA,4573
731,2513505,PB,SANTANA DE MANGUEIRA,5159
732,2513604,PB,SANTANA DOS GARROTES,7024
733,2513851,PB,SANTO ANDRÉ,2519
734,2513927,PB,SÃO BENTINHO,4540
735,2513901,PB,SÃO BENTO,34215
736,2513968,PB,SÃO DOMINGOS,3120
737,2513943,PB,SÃO DOMINGOS DO CARIRI,2601
738,2513984,PB,SÃO FRANCISCO,3363
739,2514008,PB,SÃO JOÃO DO CARIRI,4296
740,2500700,PB,SÃO JOÃO DO RIO DO PEIXE,17940
741,2514107,PB,SÃO JOÃO DO TIGRE,4423
742,2514206,PB,SÃO JOSÉ DA LAGOA TAPADA,7679
743,2514305,PB,SÃO JOSÉ DE CAIANA,6279
744,2514404,PB,SÃO JOSÉ DE ESPINHARAS,4635
745,2514503,PB,SÃO JOSÉ DE PIRANHAS,20163
746,2514552,PB,SÃO JOSÉ DE PRINCESA,3842
747,2514602,PB,SÃO JOSÉ DO BONFIM,3566
748,2514651,PB,SÃO JOSÉ DO BREJO DO CRUZ,1806
749,2514701,PB,SÃO JOSÉ DO SABUGI,4145
750,2514800,PB,SÃO JOSÉ DOS CORDEIROS,3711
751,2514453,PB,SÃO JOSÉ DOS RAMOS,5969
752,2514909,PB,SÃO MAMEDE,7721
753,2515104,PB,SÃO SEBASTIÃO DE LAGOA DE ROÇA,11845
754,2515203,PB,SÃO SEBASTIÃO DO UMBUZEIRO,3496
755,2515401,PB,SÃO VICENTE DO SERIDÓ,11084
756,2515500,PB,SERRA BRANCA,13707
757,2515609,PB,SERRA DA RAIZ,3121
758,2515708,PB,SERRA GRANDE,3100
759,2515807,PB,SERRA REDONDA,7020
760,2515906,PB,SERRARIA,6093
761,2515930,PB,SERTÃOZINHO,5044
762,2516003,PB,SOLÂNEA,26376
763,2516102,PB,SOLEDADE,14987
764,2516151,PB,SOSSÊGO,3567
765,2516201,PB,SOUSA,69554
766,2516300,PB,SUMÉ,16957
767,2516409,PB,TACIMA,10967
768,2516508,PB,TAPEROÁ,15276(5)
769,2516607,PB,TAVARES,14661
770,2516706,PB,TEIXEIRA,15191
771,2516755,PB,TENÓRIO,3066
772,2516805,PB,TRIUNFO,9482
773,2516904,PB,UIRAÚNA,15382
774,2517001,PB,UMBUZEIRO,9913
775,2517100,PB,VÁRZEA,2820
776,2517209,PB,VIEIRÓPOLIS,5358
777,2505501,PB,VISTA SERRANA,3808
778,2517407,PB,ZABELÊ,2245
779,2600104,PE,AFOGADOS DA INGAZEIRA,37017
780,2600203,PE,AFRÂNIO,19411
781,2600302,PE,AGRESTINA,24644
782,2600500,PE,ÁGUAS BELAS,43087
783,2600609,PE,ALAGOINHA,14517
784,2600807,PE,ALTINHO,22896
785,2601003,PE,ANGELIM,11045
786,2601102,PE,ARARIPINA,83757
787,2601201,PE,ARCOVERDE,73667
788,2601607,PE,BELÉM DO SÃO FRANCISCO,20670
789,2601706,PE,BELO JARDIM,75986
790,2601805,PE,BETÂNIA,12637
791,2601904,PE,BEZERROS,60549
792,2602001,PE,BODOCÓ,37816
793,2602100,PE,BOM CONSELHO,48214
794,2602209,PE,BOM JARDIM,39025
795,2602407,PE,BREJÃO,8973
796,2602506,PE,BREJINHO,7465
797,2602605,PE,BREJO DA MADRE DE DEUS,50138
798,2602803,PE,BUÍQUE,57696
799,2603009,PE,CABROBÓ,33856
800,2603108,PE,CACHOEIRINHA,20209
801,2603207,PE,CAETÉS,28500
802,2603306,PE,CALÇADO,11055
803,2603405,PE,CALUMBI,5736
804,2603504,PE,CAMOCIM DE SÃO FÉLIX,18583
805,2603702,PE,CANHOTINHO,24762
806,2603801,PE,CAPOEIRAS,19991
807,2603900,PE,CARNAÍBA,19440
808,2603926,PE,CARNAUBEIRA DA PENHA,12805
809,2604106,PE,CARUARU,356128
810,2604155,PE,CASINHAS,14274
811,2604304,PE,CEDRO,11695
812,2604502,PE,CHÃ GRANDE,21525
813,2604700,PE,CORRENTES,18098
814,2604908,PE,CUMARU,11559
815,2605004,PE,CUPIRA,23977
816,2605103,PE,CUSTÓDIA,36753
817,2605152,PE,DORMENTES,18692
818,2605301,PE,EXU,31790
819,2605608,PE,FLORES,22567
820,2605707,PE,FLORESTA,32483
821,2605806,PE,FREI MIGUELINHO,15328
822,2606002,PE,GARANHUNS,138642
823,2606309,PE,GRANITO,7417
824,2606408,PE,GRAVATÁ,83241
825,2606507,PE,IATI,19100
826,2606606,PE,IBIMIRIM,28985
827,2606705,PE,IBIRAJUBA,7735
828,2606903,PE,IGUARACY,12175
829,2607000,PE,INAJÁ,22801
830,2607109,PE,INGAZEIRA,4542
831,2607307,PE,IPUBI,30447
832,2607406,PE,ITACURUBA,4858
833,2607505,PE,ITAÍBA,26314
834,2607703,PE,ITAPETIM,13638
835,2608008,PE,JATAÚBA,17026
836,2608057,PE,JATOBÁ,14703
837,2608107,PE,JOÃO ALFREDO,33485
838,2608255,PE,JUCATI,11334
839,2608305,PE,JUPI,14712
840,2608404,PE,JUREMA,15284
841,2608602,PE,LAGOA DO OURO,13033
842,2608701,PE,LAGOA DOS GATOS,16218
843,2608750,PE,LAGOA GRANDE,25294
844,2608800,PE,LAJEDO,39888
845,2609154,PE,MANARI,21047
846,2609303,PE,MIRANDIBA,15270
847,2614303,PE,MOREILÂNDIA,11238
848,2609709,PE,OROBÓ,23768
849,2609808,PE,OROCÓ,14794
850,2609907,PE,OURICURI,68776
851,2610103,PE,PALMEIRINA,7761
852,2610202,PE,PANELAS,26417
853,2610301,PE,PARANATAMA,11449
854,2610400,PE,PARNAMIRIM,21383
855,2610509,PE,PASSIRA,28889
856,2610806,PE,PEDRA,22505
857,2610905,PE,PESQUEIRA,66881
858,2611002,PE,PETROLÂNDIA,36108
859,2611101,PE,PETROLINA,343219
860,2611200,PE,POÇÃO,11268
861,2611309,PE,POMBOS,26960
862,2611533,PE,QUIXABA,6802
863,2611705,PE,RIACHO DAS ALMAS,20392
864,2612000,PE,SAIRÉ,10065
865,2612109,PE,SALGADINHO,10747
866,2612208,PE,SALGUEIRO,60453
867,2612307,PE,SALOÁ,15779
868,2612406,PE,SANHARÓ,25979
869,2612455,PE,SANTA CRUZ,15202
870,2612471,PE,SANTA CRUZ DA BAIXA VERDE,12501
871,2612505,PE,SANTA CRUZ DO CAPIBARIBE,105761
872,2612554,PE,SANTA FILOMENA,14355
873,2612604,PE,SANTA MARIA DA BOA VISTA,41652
874,2612703,PE,SANTA MARIA DO CAMBUCÁ,14013
875,2612802,PE,SANTA TEREZINHA,11734
876,2613008,PE,SÃO BENTO DO UNA,58824
877,2613107,PE,SÃO CAITANO,37023
878,2613206,PE,SÃO JOÃO,22628
879,2613305,PE,SÃO JOAQUIM DO MONTE,21257
880,2613503,PE,SÃO JOSÉ DO BELMONTE,33804
881,2613602,PE,SÃO JOSÉ DO EGITO,33704
882,2613909,PE,SERRA TALHADA,85568
883,2614006,PE,SERRITA,19080
884,2614105,PE,SERTÂNIA,35670
885,2614402,PE,SOLIDÃO,5978
886,2614501,PE,SURUBIM,64373
887,2614600,PE,TABIRA,28301
888,2614709,PE,TACAIMBÓ,12853
889,2614808,PE,TACARATU,25368
890,2615003,PE,TAQUARITINGA DO NORTE,28358
891,2615102,PE,TEREZINHA,7120
892,2615201,PE,TERRA NOVA,10437
893,2615409,PE,TORITAMA,44189
894,2615607,PE,TRINDADE,30155
895,2615706,PE,TRIUNFO,15221
896,2615805,PE,TUPANATINGA,26990
897,2615904,PE,TUPARETAMA,8169
898,2616001,PE,VENTUROSA,18258
899,2616100,PE,VERDEJANTE,9490
900,2616183,PE,VERTENTE DO LÉRIO,7641
901,2616209,PE,VERTENTES,20460
902,2200053,PI,ACAUÃ,6966
903,2200251,PI,ALAGOINHA DO PIAUÍ,7526
904,2200277,PI,ALEGRETE DO PIAUÍ,4838
905,2200301,PI,ALTO LONGÁ,14070
906,2200400,PI,ALTOS,39864
907,2200459,PI,ALVORADA DO GURGUÉIA,5326
908,2200509,PI,AMARANTE,17322
909,2200608,PI,ANGICAL DO PIAUÍ,6684
910,2200707,PI,ANÍSIO DE ABREU,9705
911,2200905,PI,AROAZES,5748
912,2200954,PI,AROEIRAS DO ITAIM,2511
913,2201002,PI,ARRAIAL,4656
914,2201051,PI,ASSUNÇÃO DO PIAUÍ,7717
915,2201101,PI,AVELINO LOPES,11503
916,2201176,PI,BARRA D'ALCÂNTARA,3889
917,2201200,PI,BARRAS,46291
918,2201507,PI,BATALHA,26421
919,2201556,PI,BELA VISTA DO PIAUÍ,3947
920,2201572,PI,BELÉM DO PIAUÍ,3503
921,2201606,PI,BENEDITINOS,10037
922,2201705,PI,BERTOLÍNIA,5413
923,2201739,PI,BETÂNIA DO PIAUÍ,6106
924,2201770,PI,BOA HORA,6663
925,2201804,PI,BOCAINA,4428
926,2201903,PI,BOM JESUS,24711
927,2201919,PI,BOM PRINCÍPIO DO PIAUÍ,5535
928,2201929,PI,BONFIM DO PIAUÍ,5577
929,2201945,PI,BOQUEIRÃO DO PIAUÍ,6300
930,2201960,PI,BRASILEIRA,8192
931,2201988,PI,BREJO DO PIAUÍ,3823
932,2202000,PI,BURITI DOS LOPES,19464
933,2202026,PI,BURITI DOS MONTES,8108
934,2202059,PI,CABECEIRAS DO PIAUÍ,10406
935,2202075,PI,CAJAZEIRAS DO PIAUÍ,3497
936,2202091,PI,CALDEIRÃO GRANDE DO PIAUÍ,5684
937,2202109,PI,CAMPINAS DO PIAUÍ,5522
938,2202117,PI,CAMPO ALEGRE DO FIDALGO,4957
939,2202133,PI,CAMPO GRANDE DO PIAUÍ,5842
940,2202208,PI,CAMPO MAIOR,46082
941,2202251,PI,CANAVIEIRA,3892
942,2202307,PI,CANTO DO BURITI,20831
943,2202406,PI,CAPITÃO DE CAMPOS,11229
944,2202455,PI,CAPITÃO GERVÁSIO OLIVEIRA,4033
945,2202505,PI,CARACOL,10729
946,2202539,PI,CARAÚBAS DO PIAUÍ,5769
947,2202554,PI,CARIDADE DO PIAUÍ,4982
948,2202604,PI,CASTELO DO PIAUÍ,19410
949,2202653,PI,CAXINGÓ,5330
950,2202703,PI,COCAL,27338
951,2202711,PI,COCAL DE TELHA,4812
952,2202729,PI,COCAL DOS ALVES,6054
953,2202737,PI,COIVARAS,3953
954,2202752,PI,COLÔNIA DO GURGUÉIA,6372
955,2202778,PI,COLÔNIA DO PIAUÍ,7536
956,2202802,PI,CONCEIÇÃO DO CANINDÉ,4726
957,2202851,PI,CORONEL JOSÉ DIAS,4608
958,2202901,PI,CORRENTE,26205
959,2203008,PI,CRISTALÂNDIA DO PIAUÍ,8154
960,2203107,PI,CRISTINO CASTRO,10253
961,2203206,PI,CURIMATÁ,11190
962,2203230,PI,CURRAIS,4871
963,2203271,PI,CURRAL NOVO DO PIAUÍ,5251
964,2203305,PI,DEMERVAL LOBÃO,13595
965,2203354,PI,DIRCEU ARCOVERDE,6896
966,2203404,PI,DOM EXPEDITO LOPES,6790
967,2203453,PI,DOM INOCÊNCIO,9404
968,2203420,PI,DOMINGOS MOURÃO,4287
969,2203503,PI,ELESBÃO VELOSO,14383
970,2203602,PI,ELISEU MARTINS,4834
971,2203750,PI,FARTURA DO PIAUÍ,5220
972,2203800,PI,FLORES DO PIAUÍ,4393
973,2203859,PI,FLORESTA DO PIAUÍ,2518
974,2203909,PI,FLORIANO,58969
975,2204006,PI,FRANCINÓPOLIS,5264
976,2204105,PI,FRANCISCO AYRES,4288
977,2204154,PI,FRANCISCO MACEDO,3128
978,2204204,PI,FRANCISCO SANTOS,9154
979,2204303,PI,FRONTEIRAS,11432
980,2204352,PI,GEMINIANO,5352
981,2204550,PI,GUARIBAS,4489
982,2204659,PI,ILHA GRANDE,9268
983,2204709,PI,INHUMA,15065
984,2204808,PI,IPIRANGA DO PIAUÍ,9649
985,2204907,PI,ISAÍAS COELHO,8428
986,2205003,PI,ITAINÓPOLIS,11343
987,2205102,PI,ITAUEIRA,10845
988,2205151,PI,JACOBINA DO PIAUÍ,5656
989,2205201,PI,JAICÓS,18782
990,2205250,PI,JARDIM DO MULATO,4430
991,2205276,PI,JATOBÁ DO PIAUÍ,4786
992,2205359,PI,JOÃO COSTA,2961
993,2205508,PI,JOSÉ DE FREITAS,38550
994,2205516,PI,JUAZEIRO DO PIAUÍ,5391
995,2205524,PI,JÚLIO BORGES,5534
996,2205532,PI,JUREMA,4683
997,2205573,PI,LAGOA DE SÃO FRANCISCO,6646
998,2205565,PI,LAGOA DO BARRO DO PIAUÍ,4582
999,2205581,PI,LAGOA DO PIAUÍ,3996
1000,2205599,PI,LAGOA DO SÍTIO,5087
1001,2205706,PI,LUÍS CORREIA,29792
1002,2205904,PI,MANOEL EMÍDIO,5266
1003,2205953,PI,MARCOLÂNDIA,8342
1004,2206050,PI,MASSAPÊ DO PIAUÍ,6338
1005,2206357,PI,MILTON BRANDÃO,6511
1006,2206407,PI,MONSENHOR GIL,10409
1007,2206506,PI,MONSENHOR HIPÓLITO,7621
1008,2206654,PI,MORRO CABEÇA NO TEMPO,4066
1009,2206704,PI,NAZARÉ DO PIAUÍ,7231
1010,2206753,PI,NOSSA SENHORA DE NAZARÉ,4786
1011,2207959,PI,NOVA SANTA RITA,4302
1012,2206902,PI,NOVO ORIENTE DO PIAUÍ,6466
1013,2206951,PI,NOVO SANTO ANTÔNIO,2940
1014,2207009,PI,OEIRAS,36432
1015,2207207,PI,PADRE MARCOS,6758
1016,2207306,PI,PAES LANDIM,4065
1017,2207355,PI,PAJEÚ DO PIAUÍ,3333
1018,2207405,PI,PALMEIRA DO PIAUÍ,4967
1019,2207553,PI,PAQUETÁ,3886
1020,2207603,PI,PARNAGUÁ,10613
1021,2207702,PI,PARNAÍBA,150547
1022,2207751,PI,PASSAGEM FRANCA DO PIAUÍ,4500
1023,2207777,PI,PATOS DO PIAUÍ,6288
1024,2207793,PI,PAU D'ARCO DO PIAUÍ,3975
1025,2207801,PI,PAULISTANA,20192
1026,2207850,PI,PAVUSSU,3623
1027,2207900,PI,PEDRO II,38127
1028,2207934,PI,PEDRO LAURENTINO,2495
1029,2208007,PI,PICOS,76928
1030,2208106,PI,PIMENTEIRAS,11935
1031,2208205,PI,PIO IX,18125
1032,2208304,PI,PIRACURUCA,28312
1033,2208403,PI,PIRIPIRI,62733
1034,2208601,PI,PRATA DO PIAUÍ,3103
1035,2208650,PI,QUEIMADA NOVA,8842
1036,2208700,PI,REDENÇÃO DO GURGUÉIA,8634
1037,2208809,PI,REGENERAÇÃO,17698
1038,2208858,PI,RIACHO FRIO,4246
1039,2208874,PI,RIBEIRA DO PIAUÍ,4403
1040,2209005,PI,RIO GRANDE DO PIAUÍ,6331
1041,2209104,PI,SANTA CRUZ DO PIAUÍ,6140
1042,2209153,PI,SANTA CRUZ DOS MILAGRES,3952
1043,2209302,PI,SANTA LUZ,5761
1044,2209377,PI,SANTA ROSA DO PIAUÍ,5175
1045,2209351,PI,SANTANA DO PIAUÍ,4559
1046,2209401,PI,SANTO ANTÔNIO DE LISBOA,6305
1047,2209450,PI,SANTO ANTÔNIO DOS MILAGRES,2125
1048,2209500,PI,SANTO INÁCIO DO PIAUÍ,3731
1049,2209559,PI,SÃO BRAZ DO PIAUÍ,4377
1050,2209609,PI,SÃO FÉLIX DO PIAUÍ,2901
1051,2209658,PI,SÃO FRANCISCO DE ASSIS DO PIAUÍ,5657
1052,2209708,PI,SÃO FRANCISCO DO PIAUÍ,6324
1053,2209757,PI,SÃO GONÇALO DO GURGUÉIA,2988
1054,2209807,PI,SÃO GONÇALO DO PIAUÍ,4931
1055,2209856,PI,SÃO JOÃO DA CANABRAVA,4534
1056,2209872,PI,SÃO JOÃO DA FRONTEIRA,5938
1057,2209906,PI,SÃO JOÃO DA SERRA,6050
1058,2209955,PI,SÃO JOÃO DA VARJOTA,4762
1059,2210003,PI,SÃO JOÃO DO PIAUÍ,20258
1060,2210052,PI,SÃO JOSÉ DO DIVINO,5260
1061,2210102,PI,SÃO JOSÉ DO PEIXE,3689
1062,2210201,PI,SÃO JOSÉ DO PIAUÍ,6602
1063,2210300,PI,SÃO JULIÃO,6261
1064,2210359,PI,SÃO LOURENÇO DO PIAUÍ,4501
1065,2210375,PI,SÃO LUIS DO PIAUÍ,2602
1066,2210383,PI,SÃO MIGUEL DA BAIXA GRANDE,2413
1067,2210391,PI,SÃO MIGUEL DO FIDALGO,2991
1068,2210409,PI,SÃO MIGUEL DO TAPUIO,17395
1069,2210508,PI,SÃO PEDRO DO PIAUÍ,14056
1070,2210607,PI,SÃO RAIMUNDO NONATO,34109
1071,2210623,PI,SEBASTIÃO BARROS,3421
1072,2210631,PI,SEBASTIÃO LEAL,4224
1073,2210656,PI,SIGEFREDO PACHECO,9880
1074,2210706,PI,SIMÕES,14398
1075,2210805,PI,SIMPLÍCIO MENDES,12488
1076,2210904,PI,SOCORRO DO PIAUÍ,4500
1077,2210938,PI,SUSSUAPARA,6612
1078,2210953,PI,TAMBORIL DO PIAUÍ,2870
1079,2210979,PI,TANQUE DO PIAUÍ,2719
1080,2211001,PI,TERESINA,850198
1081,2211308,PI,VALENÇA DO PIAUÍ,20588
1082,2211357,PI,VÁRZEA BRANCA,4873
1083,2211407,PI,VÁRZEA GRANDE,4325
1084,2211506,PI,VERA MENDES,3029
1085,2211605,PI,VILA NOVA DO PIAUÍ,2931
1086,2211704,PI,WALL FERRAZ,4390
1087,2400109,RN,ACARI,11333
1088,2400208,RN,AÇU,58183
1089,2400307,RN,AFONSO BEZERRA,11211
1090,2400406,RN,ÁGUA NOVA,3260
1091,2400505,RN,ALEXANDRIA,13827
1092,2400604,RN,ALMINO AFONSO,4854
1093,2400703,RN,ALTO DO RODRIGUES,14365
1094,2400802,RN,ANGICOS,11909
1095,2400901,RN,ANTÔNIO MARTINS,7237
1096,2401008,RN,APODI,36323
1097,2401107,RN,AREIA BRANCA,27401
1098,2401305,RN,AUGUSTO SEVERO,9768
1099,2401453,RN,BARAÚNA,28085
1100,2401503,RN,BARCELONA,4064
1101,2401602,RN,BENTO FERNANDES,5527
1102,2401651,RN,BODÓ,2307
1103,2401701,RN,BOM JESUS,10254
1104,2401800,RN,BREJINHO,12720
1105,2401859,RN,CAIÇARA DO NORTE,6624
1106,2401909,RN,CAIÇARA DO RIO DO VENTO,3680
1107,2402006,RN,CAICÓ,68222
1108,2402105,RN,CAMPO REDONDO,11244
1109,2402303,RN,CARAÚBAS,20707
1110,2402402,RN,CARNAÚBA DOS DANTAS,8188
1111,2402501,RN,CARNAUBAIS,10715
1112,2402709,RN,CERRO CORÁ,11344
1113,2402808,RN,CORONEL EZEQUIEL,5593
1114,2402907,RN,CORONEL JOÃO PESSOA,4980
1115,2403004,RN,CRUZETA,8147
1116,2403103,RN,CURRAIS NOVOS,45228
1117,2403202,RN,DOUTOR SEVERIANO,7190
1118,2403301,RN,ENCANTO,5666
1119,2403400,RN,EQUADOR,6119
1120,2403707,RN,FELIPE GUERRA,6052
1121,2403756,RN,FERNANDO PEDROZA,3072
1122,2403806,RN,FLORÂNIA,9262
1123,2403905,RN,FRANCISCO DANTAS,2890
1124,2404002,RN,FRUTUOSO GOMES,4180
1125,2404101,RN,GALINHOS,2715
1126,2404309,RN,GOVERNADOR DIX-SEPT ROSADO,13157
1127,2404408,RN,GROSSOS,10386
1128,2404507,RN,GUAMARÉ,15309
1129,2404606,RN,IELMO MARINHO,13714
1130,2404705,RN,IPANGUAÇU,15464
1131,2404804,RN,IPUEIRA,2251
1132,2404853,RN,ITAJÁ,7571
1133,2404903,RN,ITAÚ,5930
1134,2405009,RN,JAÇANÃ,9068
1135,2405108,RN,JANDAÍRA,6942
1136,2405207,RN,JANDUÍS,5386
1137,2405306,RN,JANUÁRIO CICCO,10096
1138,2405405,RN,JAPI,5247
1139,2405504,RN,JARDIM DE ANGICOS,2663
1140,2405603,RN,JARDIM DE PIRANHAS,14858
1141,2405702,RN,JARDIM DO SERIDÓ,12579
1142,2405801,RN,JOÃO CÂMARA,35087
1143,2405900,RN,JOÃO DIAS,2695
1144,2406007,RN,JOSÉ DA PENHA,6050
1145,2406106,RN,JUCURUTU,18530
1146,2406205,RN,LAGOA D'ANTA,6793
1147,2406304,RN,LAGOA DE PEDRAS,7579
1148,2406403,RN,LAGOA DE VELHOS,2771
1149,2406502,RN,LAGOA NOVA,15590
1150,2406601,RN,LAGOA SALGADA,8269
1151,2406700,RN,LAJES,11316
1152,2406809,RN,LAJES PINTADAS,4822
1153,2406908,RN,LUCRÉCIA,4002
1154,2407005,RN,LUÍS GOMES,10211
1155,2407104,RN,MACAÍBA,80031
1156,2407203,RN,MACAU,31859
1157,2407252,RN,MAJOR SALES,4002
1158,2407302,RN,MARCELINO VIEIRA,8492
1159,2407401,RN,MARTINS,8793
1160,2407609,RN,MESSIAS TARGINO,4608
1161,2407807,RN,MONTE ALEGRE,22462
1162,2407906,RN,MONTE DAS GAMELEIRAS,2178
1163,2408003,RN,MOSSORÓ,295619
1164,2408300,RN,NOVA CRUZ,37695
1165,2408409,RN,OLHO D'ÁGUA DO BORGES,4349
1166,2408508,RN,OURO BRANCO,4882
1167,2408607,RN,PARANÁ,4276
1168,2408706,RN,PARAÚ,3859
1169,2408805,RN,PARAZINHO,5258
1170,2408904,RN,PARELHAS,21669
1171,2409100,RN,PASSA E FICA,13099
1172,2409209,RN,PASSAGEM,3109
1173,2409308,RN,PATU,12844
1174,2409407,RN,PAU DOS FERROS,30452
1175,2409506,RN,PEDRA GRANDE,3356
1176,2409605,RN,PEDRA PRETA,2532
1177,2409704,RN,PEDRO AVELINO,6938
1178,2409902,RN,PENDÊNCIAS,15083
1179,2410009,RN,PILÕES,3836
1180,2410108,RN,POÇO BRANCO,15418
1181,2410207,RN,PORTALEGRE,7909
1182,2410256,RN,PORTO DO MANGUE,6789
1183,2410405,RN,PUREZA,9568
1184,2410504,RN,RAFAEL FERNANDES,5115
1185,2410603,RN,RAFAEL GODEIRO,3234
1186,2410702,RN,RIACHO DA CRUZ,3566
1187,2410801,RN,RIACHO DE SANTANA,4277
1188,2410900,RN,RIACHUELO,8075
1189,2411007,RN,RODOLFO FERNANDES,4545
1190,2411106,RN,RUY BARBOSA,3669
1191,2411205,RN,SANTA CRUZ,39667
1192,2409332,RN,SANTA MARIA,5500
1193,2411403,RN,SANTANA DO MATOS,13289
1194,2411429,RN,SANTANA DO SERIDÓ,2701
1195,2411502,RN,SANTO ANTÔNIO,24220
1196,2411601,RN,SÃO BENTO DO NORTE,2846
1197,2411700,RN,SÃO BENTO DO TRAIRÍ,4425
1198,2411809,RN,SÃO FERNANDO,3617
1199,2411908,RN,SÃO FRANCISCO DO OESTE,4238
1200,2412104,RN,SÃO JOÃO DO SABUGI,6260
1201,2412302,RN,SÃO JOSÉ DO CAMPESTRE,13007
1202,2412401,RN,SÃO JOSÉ DO SERIDÓ,4643
1203,2412500,RN,SÃO MIGUEL,23610
1204,2412559,RN,SÃO MIGUEL DO GOSTOSO,9606
1205,2412609,RN,SÃO PAULO DO POTENGI,17572
1206,2412708,RN,SÃO PEDRO,6139
1207,2412807,RN,SÃO RAFAEL,8343
1208,2412906,RN,SÃO TOMÉ,11223
1209,2413003,RN,SÃO VICENTE,6469
1210,2413102,RN,SENADOR ELÓI DE SOUZA,6188
1211,2410306,RN,SERRA CAIADA,10099
1212,2413300,RN,SERRA DE SÃO BENTO,5870
1213,2413359,RN,SERRA DO MEL,11838
1214,2413409,RN,SERRA NEGRA DO NORTE,8175
1215,2413508,RN,SERRINHA,6422
1216,2413557,RN,SERRINHA DOS PINTOS,4841
1217,2413607,RN,SEVERIANO MELO,3150
1218,2413706,RN,SÍTIO NOVO,5528
